comparison,model_a,model_b,metric,test,statistic,p_value,n_datasets,effect_size_dz,adjusted_p,significant,correction,view_name
DLG-Base vs DOMINANT,DLG-Base,DOMINANT,validation_f1,wilcoxon,22.0,0.625,10,-0.15063035453214949,1.0,False,holm,scalable_detector
DLG-Base vs OCGNN,DLG-Base,OCGNN,validation_f1,wilcoxon,2.0,0.005859375,10,1.2582469376592273,0.03125,True,holm,scalable_detector
DOMINANT vs OCGNN,DOMINANT,OCGNN,validation_f1,wilcoxon,1.0,0.00390625,10,1.2578952265392465,0.03125,True,holm,scalable_detector
CoLA vs DLG-Aug,CoLA,DLG-Aug,roc_auc,wilcoxon,0.0,0.015625,7,-1.072920194775805,0.15625,False,holm,fraud_oriented
CoLA vs DLG-Base,CoLA,DLG-Base,roc_auc,wilcoxon,3.0,0.078125,7,-0.7116243742672164,0.46875,False,holm,fraud_oriented
CoLA vs DOMINANT,CoLA,DOMINANT,roc_auc,wilcoxon,3.0,0.078125,7,-0.7038461441118438,0.46875,False,holm,fraud_oriented
CoLA vs OCGNN,CoLA,OCGNN,roc_auc,wilcoxon,3.0,0.078125,7,0.7464533305719959,0.46875,False,holm,fraud_oriented
DLG-Aug vs DLG-Base,DLG-Aug,DLG-Base,roc_auc,wilcoxon,7.0,0.296875,7,0.5401298719566989,0.890625,False,holm,fraud_oriented
DLG-Aug vs DOMINANT,DLG-Aug,DOMINANT,roc_auc,wilcoxon,7.0,0.296875,7,0.5462149802871286,0.890625,False,holm,fraud_oriented
DLG-Aug vs OCGNN,DLG-Aug,OCGNN,roc_auc,wilcoxon,0.0,0.015625,7,2.0263221986023328,0.15625,False,holm,fraud_oriented
DLG-Base vs DOMINANT,DLG-Base,DOMINANT,roc_auc,wilcoxon,8.0,0.375,7,0.48760158490604333,0.890625,False,holm,fraud_oriented
DLG-Base vs OCGNN,DLG-Base,OCGNN,roc_auc,wilcoxon,2.0,0.046875,7,1.3063519333462756,0.375,False,holm,fraud_oriented
DOMINANT vs OCGNN,DOMINANT,OCGNN,roc_auc,wilcoxon,2.0,0.046875,7,1.2965294929597164,0.375,False,holm,fraud_oriented
CoLA vs DLG-Aug,CoLA,DLG-Aug,pr_auc,wilcoxon,0.0,0.015625,7,-0.8830022961123445,0.15625,False,holm,fraud_oriented
CoLA vs DLG-Base,CoLA,DLG-Base,pr_auc,wilcoxon,4.0,0.109375,7,-0.8483457325320589,0.4375,False,holm,fraud_oriented
CoLA vs DOMINANT,CoLA,DOMINANT,pr_auc,wilcoxon,3.0,0.078125,7,-0.8419919343598248,0.390625,False,holm,fraud_oriented
CoLA vs OCGNN,CoLA,OCGNN,pr_auc,wilcoxon,0.0,0.015625,7,0.6351675800181142,0.15625,False,holm,fraud_oriented
DLG-Aug vs DLG-Base,DLG-Aug,DLG-Base,pr_auc,wilcoxon,11.0,0.6875,7,-0.10769247563470082,1.0,False,holm,fraud_oriented
DLG-Aug vs DOMINANT,DLG-Aug,DOMINANT,pr_auc,wilcoxon,13.0,0.9375,7,-0.2963685754104784,1.0,False,holm,fraud_oriented
DLG-Aug vs OCGNN,DLG-Aug,OCGNN,pr_auc,wilcoxon,0.0,0.015625,7,0.8803522856015347,0.15625,False,holm,fraud_oriented
DLG-Base vs DOMINANT,DLG-Base,DOMINANT,pr_auc,wilcoxon,8.0,0.375,7,-0.4049970686862716,1.0,False,holm,fraud_oriented
DLG-Base vs OCGNN,DLG-Base,OCGNN,pr_auc,wilcoxon,2.0,0.046875,7,0.8598956036897346,0.328125,False,holm,fraud_oriented
DOMINANT vs OCGNN,DOMINANT,OCGNN,pr_auc,wilcoxon,2.0,0.046875,7,0.84024702571037,0.328125,False,holm,fraud_oriented
CoLA vs DLG-Aug,CoLA,DLG-Aug,validation_f1,wilcoxon,0.0,0.015625,7,-1.0794050426114845,0.15625,False,holm,fraud_oriented
CoLA vs DLG-Base,CoLA,DLG-Base,validation_f1,wilcoxon,1.0,0.03125,7,-1.001497918523827,0.25,False,holm,fraud_oriented
CoLA vs DOMINANT,CoLA,DOMINANT,validation_f1,wilcoxon,1.0,0.03125,7,-1.0061347037167667,0.25,False,holm,fraud_oriented
CoLA vs OCGNN,CoLA,OCGNN,validation_f1,wilcoxon,3.0,0.078125,7,0.7523263180029689,0.3125,False,holm,fraud_oriented
DLG-Aug vs DLG-Base,DLG-Aug,DLG-Base,validation_f1,wilcoxon,8.0,0.375,7,0.15671082046318954,1.0,False,holm,fraud_oriented
DLG-Aug vs DOMINANT,DLG-Aug,DOMINANT,validation_f1,wilcoxon,13.0,0.9375,7,0.047338415104524086,1.0,False,holm,fraud_oriented
DLG-Aug vs OCGNN,DLG-Aug,OCGNN,validation_f1,wilcoxon,0.0,0.015625,7,1.0157903424481174,0.15625,False,holm,fraud_oriented
DLG-Base vs DOMINANT,DLG-Base,DOMINANT,validation_f1,wilcoxon,8.0,0.375,7,-0.3174818203926086,1.0,False,holm,fraud_oriented
DLG-Base vs OCGNN,DLG-Base,OCGNN,validation_f1,wilcoxon,2.0,0.046875,7,0.9693103507478813,0.25,False,holm,fraud_oriented
DOMINANT vs OCGNN,DOMINANT,OCGNN,validation_f1,wilcoxon,1.0,0.03125,7,0.9687940326175722,0.25,False,holm,fraud_oriented
